heatingload,fanratio
7.9471068,0.037577007
7.0290208,0.042339813
7.3269925,0.040723782
7.2064672,0.041336652
7.1054935,0.041909631
7.1839275,0.04145157
6.9707103,0.042718161
7.1514096,0.041665878
7.3100495,0.040786751
7.0200944,0.042439353
7.1683245,0.041548029
7.1902847,0.041454375
7.1898909,0.041458081
6.9067101,0.043132342
7.087091,0.042040948
7.3764648,0.040435534
7.3025446,0.040833712
7.6743107,0.038952403
7.8328948,0.038130812
8.1001377,0.036887471
8.0779123,0.03699543
8.0738497,0.037022457
8.2030354,0.03644212
8.6309624,0.034677163
9.1724844,0.032666046
9.5196772,0.031476196
9.6785345,0.030959565
9.8239851,0.030501189
9.9194975,0.0302075
9.9832516,0.030014591
9.8816223,0.030323282
9.8054733,0.030541055
9.5398712,0.031406749
8.68859,0.034465242
7.7187719,0.038742114
6.9760671,0.04279891
6.2108989,0.04788623
5.655232,0.052396677
5.1768184,0.057030164
5.0796981,0.058113493
5.2000337,0.056802515
5.4343796,0.054646563
5.6332822,0.052676566
6.0254493,0.049340241
6.3354883,0.046985295
6.3750858,0.0467005
6.3553634,0.04681287
6.7177153,0.044368435
7.1277227,0.041875448
7.4098258,0.040308066
7.7960076,0.03843059
7.8874087,0.03791507
7.5988507,0.039318517
7.8493872,0.038080398
8.1466255,0.036719009
8.1726341,0.036612824
7.8152924,0.038265236
6.9305916,0.043041281
5.8253932,0.050990745
4.8547769,0.060853321
3.9217582,0.07398615
3.2763948,0.087047659
2.8810244,0.098198041
2.7618446,0.10234393
3.0597243,0.093596131
3.1721697,0.091006786
3.1696465,0.090861805
3.1794403,0.090621985
3.2989407,0.087517492
3.3952045,0.08536651
3.6197135,0.080542162
3.9723949,0.073765181
4.1581888,0.070696659
4.2758727,0.068823211
4.3027716,0.068538241
4.2989607,0.068445504
4.4182553,0.066637084
4.5777535,0.064364009
4.6681671,0.063146941
5.0602121,0.058254465
5.9019866,0.050315604
6.3071556,0.047141779
6.8304033,0.043587424
7.0496769,0.042265624
6.727438,0.044292491
6.8794718,0.043323152
6.9002657,0.043207157
7.718719,0.038690664
8.5274506,0.035076603
8.7957287,0.034066901
9.1701031,0.03267039
9.2825813,0.032273892
9.7888069,0.030605409
10.419734,0.028754286
10.974893,0.027295195
11.475251,0.026111873
11.795057,0.025404135
11.981705,0.025008395
12.423459,0.024119146
13.48175,0.02222584
13.437723,0.02229866
13.238629,0.022634007
13.095554,0.022881294
13.113792,0.022842577
12.878359,0.023267189
12.236076,0.024488505
10.718269,0.027956307
10.815965,0.02770379
10.804232,0.027732557
10.450276,0.028672943
9.4226904,0.031800177
9.2764988,0.032301325
9.4811192,0.031604204
9.7765217,0.030648254
10.094397,0.029671654
10.477385,0.028596641
10.722629,0.027944941
11.091505,0.027015068
11.635247,0.02575306
12.947615,0.023142735
13.029496,0.022997299
12.944057,0.023149097
12.922209,0.023188235
12.934951,0.023165394
13.043503,0.022972604
13.050721,0.022959897
12.971444,0.02310022
12.970672,0.023101596
12.775614,0.02345431
10.790696,0.027764298
9.8056335,0.030554343
8.9774151,0.033373874
8.3982601,0.035668418
7.7799015,0.038495939
7.2337666,0.041342977
7.2836208,0.041046228
7.7615399,0.038538519
8.1326113,0.036838919
8.2586746,0.036281399
8.4353914,0.035506856
8.6671352,0.034548908
9.2407713,0.032425776
9.6738043,0.030969718
10.001572,0.029954502
11.582339,0.025870699
12.467423,0.024034094
12.658916,0.023670526
12.540168,0.023894673
12.457932,0.024052406
12.369394,0.024224566
