,COP NEEP 50,,,,,,,,,,,
74,2.238399999,,,,,,,,,,,
75,2.267199999,,,,,,,,,,,
76,2.291199999,,,,,,,,,,,
77,2.185599999,,,,,,,,,,,
78,2.1616,,,,,,,,,,,
79,2.1616,,,,,,,,,,,
80,2.238399999,,,,,,,,,,,
81,2.214399999,,,,,,,,,,,
82,2.238399999,,,,,,,,,,,
83,2.214399999,,,,,,,,,,,
84,2.214399999,,,,,,,,,,,
85,2.238399999,,,,,,,,,,,
86,2.238399999,,,,,,,,,,,
87,2.185599999,,,,,,,,,,,
88,2.1616,,,,,,,,,,,
89,2.1328,,,,,,,,,,,
90,2.029609415,,,,,,,,,,,
91,1.839684381,,,,,,,,,,,
92,1.646592933,,,,,,,,,,,
93,1.293319812,,,,,,,,,,,
94,1,,,,,,,,,,,
95,1,,,,,,,,,,,
96,1,,,,,,,,,,,
97,1,,,,,,,,,,,
98,1,,,,,,,,,,,
99,1,,,,,,,,,,,
100,1,,,,,,,,,,,
101,1,,,,,,,,,,,
102,1,,,,,,,,,,,
103,1,,,,,,,,,,,
104,1,,,,,,,,,,,
105,1.293319812,,,,,,,,,,,
106,1.839684381,,,,,,,,,,,
107,1.839684381,,,,,,,,,,,
108,2.1088,,,,,,,,,,,
109,2.1088,,,,,,,,,,,
110,2.1088,,,,,,,,,,,
111,2.1088,,,,,,,,,,,
112,2.029609415,,,,,,,,,,,
113,1.839684381,,,,,,,,,,,
114,1.646592933,,,,,,,,,,,
115,1,,,,,,,,,,,
116,1.646592933,,,,,,,,,,,
117,1,,,,,,,,,,,
118,1.293319812,,,,,,,,,,,
119,1.293319812,,,,,,,,,,,
120,1,,,,,,,,,,,
121,1,,,,,,,,,,,
122,1,,,,,,,,,,,
123,1,,,,,,,,,,,
124,1,,,,,,,,,,,
125,1,,,,,,,,,,,
126,1,,,,,,,,,,,
127,1,,,,,,,,,,,
128,1,,,,,,,,,,,
129,1.293319812,,,,,,,,,,,
130,2.1088,,,,,,,,,,,
131,2.1616,,,,,,,,,,,
132,2.185599999,,,,,,,,,,,
133,2.214399999,,,,,,,,,,,
134,2.214399999,,,,,,,,,,,
135,2.214399999,,,,,,,,,,,
136,2.1616,,,,,,,,,,,
137,2.1088,,,,,,,,,,,
138,2.029609415,,,,,,,,,,,
139,1.293319812,,,,,,,,,,,
140,1,,,,,,,,,,,
141,1,,,,,,,,,,,
142,1,,,,,,,,,,,
143,1,,,,,,,,,,,
144,1,,,,,,,,,,,
145,1,,,,,,,,,,,
146,1,,,,,,,,,,,
147,1,,,,,,,,,,,
148,1.293319812,,,,,,,,,,,
149,2.029609415,,,,,,,,,,,
150,2.1088,,,,,,,,,,,
151,2.185599999,,,,,,,,,,,
152,2.238399999,,,,,,,,,,,
153,2.291199999,,,,,,,,,,,
154,2.319999999,,,,,,,,,,,
155,2.372799999,,,,,,,,,,,
156,2.402799997,,,,,,,,,,,
157,2.537199998,,,,,,,,,,,
158,2.587599998,,,,,,,,,,,
159,2.679999998,,,,,,,,,,,
160,2.679999998,,,,,,,,,,,
161,2.730399999,,,,,,,,,,,
162,2.772399999,,,,,,,,,,,
163,2.864799999,,,,,,,,,,,
164,2.822799999,,,,,,,,,,,
